#n,New period,linear_trend,multiplicative trend,White noise,AR,MA,Changing growth,Weekly freq,Monthly freq,Varying freq
0,1,-11,-3,-0.17619449,-0.405383152,-0.287043011,14,-0.588744872,0.545496802,-0.981069515
1,0,-10.73915888,-2.844046844,-0.066768135,-0.379853249,-0.329320858,27.16222874,-0.951422547,0.630115167,-0.993399955
2,0,-10.47831775,-2.696200817,-0.251613449,-0.554066806,-0.270222424,51.07363826,-0.950689147,0.707829859,-0.981586675
3,0,-10.21747663,-2.556040475,-0.015878379,-0.375126915,-0.263304746,92.97841376,-0.586824805,0.777789419,-0.903031221
4,0,-9.956635505,-2.423166282,0.000641314,-0.338187337,-0.186859314,163.7012153,0.001186667,0.839227355,-0.821523702
5,0,-9.695794382,-2.297199472,0.441160289,0.099162438,-0.099740521,278.4223688,0.588744872,0.89147054,-0.758047866
6,0,-9.434953258,-2.17778097,-0.401139801,-0.635308189,-0.014353419,456.8786269,0.951422547,0.933946588,-0.442688032
7,0,-9.174112135,-2.064570365,0.021183593,-0.270890334,0.006427511,722.3773627,0.950689147,0.966190121,-0.373677739
8,0,-8.913271011,-1.957244944,-0.168066438,-0.387591728,-0.017913732,1098.933587,0.586824805,0.987847873,-0.202935463
9,0,-8.652429887,-1.855498768,0.408906831,0.130989551,0.013464539,1606.017548,-0.001186667,0.998682558,-0.043118331
10,0,-8.391588764,-1.759041805,-0.356516686,-0.53109615,0.000639512,2250.981279,-0.588744872,0.998575467,0.050276186
11,0,-8.13074764,-1.667599098,-0.323815499,-0.595060735,-0.045443586,3020.256729,-0.951422547,0.987527774,0.124433856
12,0,-7.869906516,-1.580909984,-0.018656926,-0.273722802,-0.095571603,3871.698361,-0.950689147,0.96566052,0.251595876
13,0,-7.609065393,-1.498727351,-0.274292661,-0.559849982,-0.082993194,4731.484657,-0.586824805,0.933213288,0.635017806
14,0,-7.348224269,-1.42081693,0.487469276,0.144428414,-0.117666793,5499.067458,0.001186667,0.890541576,0.726343508
15,0,-7.087383145,-1.346956636,-0.228113003,-0.488450561,-0.148097774,6062.105632,0.588744872,0.838112903,0.787093434
16,0,-6.826542022,-1.276935923,-0.193708464,-0.488117061,-0.023365662,6320.030848,0.951422547,0.776501691,0.836216399
17,0,-6.565700898,-1.210555194,0.050259392,-0.198923112,-0.062944802,6210.734313,0.950689147,0.706382963,0.895388922
18,0,-6.304859774,-1.147625226,0.137931591,-0.122886285,-0.016005976,5731.672581,0.586824805,0.628524956,0.974062121
19,0,-6.044018651,-1.087966634,-0.445246373,-0.660760106,0.027841233,4946.575128,-0.001186667,0.543780698,0.9947865
20,0,-5.783177527,-1.031409358,0.168154533,-0.143151195,-0.106420507,3973.009584,-0.588744872,0.453078665,0.999980277
21,0,-5.522336404,-0.977792176,-0.241627037,-0.480758209,-0.085973749,2953.309309,-0.951422547,0.357412607,0.984999629
22,0,-5.26149528,-0.926962251,-0.453519569,-0.751480768,-0.032911068,2018.593729,-0.950689147,0.257830661,0.913165547
23,0,-5.000654156,-0.878774688,0.013254607,-0.346814958,-0.176754441,1258.919201,-0.586824805,0.155423869,0.703351378
24,0,-4.739813033,-0.833092126,-0.284237166,-0.665338927,-0.198441524,709.8047048,0.001186667,0.051314221,0.481326928
25,0,-4.478971909,-0.789784344,-0.028680409,-0.459435501,-0.151025653,357.727301,0.588744872,-0.053357637,0.361080061
26,0,-4.218130785,-0.74872789,-0.047931802,-0.475181113,-0.22788891,158.8806784,0.951422547,-0.157444897,0.236496276
27,0,-3.957289662,-0.709805731,0.305242507,-0.132551971,-0.146578301,61.05757258,0.950689147,-0.259807158,0.006295338
28,0,-3.696448538,-0.672906917,0.229150706,-0.102488262,-0.041678685,19.81058632,0.586824805,-0.359322917,-0.21139026
29,0,-3.435607414,-0.637926264,0.3013291,0.022543968,0.04218044,5.242211557,-0.001186667,-0.45490186,-0.405383582
30,0,-3.174766291,-0.60476406,-0.328923671,-0.484878107,0.141413863,1.073478457,-0.588744872,-0.545496802,-0.479386932
31,0,-2.913925167,-0.573325772,0.118888976,-0.062466861,0.139501191,0.155584676,-0.951422547,-0.630115167,-0.711910556
32,0,-2.653084043,-0.543521784,-0.041181837,-0.154151649,0.101365991,0.013239364,-0.950689147,-0.707829859,-0.782669924
33,0,-2.39224292,-0.515267138,-0.065862105,-0.218633774,0.076934804,0.00033434,-0.586824805,-0.777789419,-0.858002913
34,0,-2.131401796,-0.488481293,-0.078538792,-0.225331653,-0.02293457,-1.16E-05,0.001186667,-0.839227355,-0.985228663
35,0,-1.870560673,-0.463087893,-0.250120371,-0.421847805,-0.065972636,0.000001092,0.588744872,-0.89147054,-0.999772038
36,0,-1.609719549,-0.439014553,-0.275664378,-0.4694111,-0.056078024,-1.68E-07,0.951422547,-0.933946588,-0.991364654
37,0,-1.348878425,-0.416192652,-0.028292429,-0.282801029,-0.1405407,3.61E-08,0.950689147,-0.966190121,-0.952535922
38,0,-1.088037302,-0.394557133,-0.219173016,-0.495369222,-0.152371825,-9.88E-09,0.586824805,-0.987847873,-0.921183529
39,0,-0.827196178,-0.374046323,0.360553684,0.034029992,-0.165370229,3.30E-09,-0.001186667,-0.998682558,-0.882881658
40,0,-0.566355054,-0.354601754,-0.111813711,-0.356111991,-0.12278551,-1.30E-09,-0.588744872,-0.998575467,-0.837519297
41,0,-0.305513931,-0.336168,0.025641069,-0.234792169,-0.022449915,5.89E-10,-0.951422547,-0.987527774,-0.680882569
42,0,-0.044672807,-0.318692513,-0.269602641,-0.464242797,-0.0150016,-3.02E-10,-0.950689147,-0.96566052,-0.606789384
43,0,0.216168317,-0.302125479,0.285140252,0.033068578,-0.004193669,1.73E-10,-0.586824805,-0.933213288,-0.358432022
44,0,0.47700944,-0.286419672,-0.101991167,-0.267375905,0.014345043,-1.10E-10,0.001186667,-0.890541576,0.324417915
45,0,0.737850564,-0.271530321,0.093919595,-0.124022031,-0.007007948,7.60E-11,0.588744872,-0.838112903,0.869026949
46,0,0.998691688,-0.257414984,0.187122853,0.037385957,-0.019772749,-5.72E-11,0.951422547,-0.776501691,0.905947064
47,0,1.259532811,-0.244033424,0.319593383,0.205095699,0.051592042,4.65E-11,0.950689147,-0.706382963,0.967933588
48,0,1.520373935,-0.231347497,-0.232228826,-0.247636786,0.136778213,-4.05E-11,0.586824805,-0.628524956,0.984761352
49,0,1.781215059,-0.219321039,-0.307669375,-0.360453315,0.088439276,3.78E-11,-0.001186667,-0.543780698,0.970781766
50,0,2.042056182,-0.20791977,-0.245555224,-0.318294195,0.021065308,-3.75E-11,-0.588744872,-0.453078665,0.94094693
51,0,2.302897306,-0.197111189,-0.432823642,-0.573110345,-0.044795298,3.94E-11,-0.951422547,-0.357412607,0.614770386
52,0,2.56373843,-0.186864485,0.23951592,-0.014472879,-0.180254912,-4.38E-11,-0.950689147,-0.257830661,0.199460698
53,0,2.824579553,-0.177150449,-0.291965439,-0.532185344,-0.239731984,5.13E-11,-0.586824805,-0.155423869,-0.085242222
54,0,3.085420677,-0.167941392,-0.135094465,-0.447987198,-0.177703085,-6.32E-11,0.001186667,-0.051314221,-0.252353142
55,0,3.3462618,-0.159211062,0.298253999,0.008847562,-0.197566742,8.16E-11,0.588744872,0.053357637,-0.330115351
56,0,3.607102924,-0.150934573,-0.241083898,-0.48844205,-0.067538954,-1.10E-10,0.951422547,0.157444897,-0.474801646
57,0,3.867944048,-0.143088332,-0.133007283,-0.400511473,-0.011690124,1.56E-10,0.950689147,0.259807158,-0.537552228
58,0,4.128785171,-0.135649973,0.277542298,0.004700795,-0.10900909,-2.29E-10,0.586824805,0.359322917,-0.641209991
59,0,4.389626295,-0.128598292,-0.476858487,-0.691559834,0.007842179,3.50E-10,-0.001186667,0.45490186,-0.733301859
60,0,4.650467419,-0.121913189,0.073741718,-0.21497662,-0.026620237,-5.57E-10,-0.588744872,0.545496802,-0.806152101
61,0,4.911308542,-0.115575607,-0.493954729,-0.752762942,-0.134039378,9.20E-10,-0.951422547,0.630115167,-0.847550772
62,0,5.172149666,-0.10956748,-0.022873703,-0.394929951,-0.097336399,-1.57E-09,-0.950689147,0.707829859,-0.943021136
63,0,5.43299079,-0.103871682,0.201851835,-0.138916077,-0.180716047,2.78E-09,-0.586824805,0.777789419,-0.976368288
64,0,5.693831913,-0.098471977,-0.326702577,-0.68293397,-0.139258897,-5.09E-09,0.001186667,0.839227355,-0.992386429
65,0,5.954673037,-0.093352971,-0.11790564,-0.487410211,-0.106108976,9.62E-09,0.588744872,0.89147054,-0.998817585
66,0,6.215514161,-0.088500075,-0.16387029,-0.532316455,-0.156010351,-1.88E-08,0.951422547,0.933946588,-0.983701346
67,0,6.476355284,-0.083899453,0.358075396,-0.032434297,-0.069739618,3.77E-08,0.950689147,0.966190121,-0.898759318
68,0,6.737196408,-0.079537991,-0.237720439,-0.54582195,-0.056873163,-0.000000078,0.586824805,0.987847873,-0.857851069
69,0,6.998037531,-0.075403258,0.041192814,-0.325990388,-0.061343975,1.66E-07,-0.001186667,0.998682558,-0.812919349
70,0,7.258878655,-0.071483466,0.365148218,0.081444087,-0.047939285,-3.64E-07,-0.588744872,0.998575467,-0.372624675
71,0,7.519719779,-0.067767442,0.394992153,0.179983583,0.07436548,8.17E-07,-0.951422547,0.987527774,-0.204660047
72,0,7.780560902,-0.064244593,0.283369116,0.180064937,0.162615856,-1.89E-06,-0.950689147,0.96566052,-0.127617082
